Restaurant Name,Total Reviews,Reviewer,Review Text,Rating
Pai Northern Thai Kitchen,3788,Nolan F.,"We ordered:
1. Gaeng Kiaw Wan Green Curry
2. Pad Gra Prow
3. Khao Soi
4. Pad See Ew
5. Mango sticky rice 
6. Coconut sorbet
Solid Thai food. Pad See Ew and pad Gra prow wasn't terribly greasy. White rice was kind of mushy and not the best quality. Meats were dry but flavors were great across the dishes. Coconut sorbet was so creamy and perfect for coconut lovers.
Waiter was very nice and helpful.",4
Pai Northern Thai Kitchen,3788,Julia L.,"I absolutely love this place!!!! 5/5 nothing bad to say.
My friend and I came to PAI on a Friday night with no reservation after seeing all their reservations were booked up. We still went to take our chances with walk in around 7pm and we got a table within 15 mins! It was super busy yet they were still able to seat many of us who walked in.
The place upon entrance looks small but it is MASSIVE inside. The vibes are so good with the decor and the lighting. We both only wanted a main as we needed to leave pretty quickly. Service was super fast and friendly. 
Food:
- Pad Thai with Beef (no chives): 5/5 stars. I was absolutely starving and this was phenomenal. It was not too sweet or sour. It was perfect. Texture was great and portions were pretty big. I could've taken some home if I wanted to but was too hungry.
As we were in a rush, we were able to leave within 45 mins of being there. 5/5!!! Would recommend even if you don't have a reso",5
Pai Northern Thai Kitchen,3788,Yoland E.,"Though this is one of the most notoriously difficult restaurants to get a table at in Toronto, the lively ambiance and delicious food make it worth the wait! I tried the Laab Salad with beef, which was very flavourful. 
I'm looking forward to trying more menu items here in the future!",4
Pai Northern Thai Kitchen,3788,Rachel A.,"We walked in around 4:30 on a Friday with no reservation and were seated immediately. Definitely go earlier than later because the place filled up while we were there. People were waiting and the bar and there was a line outside the door. 
Place was cute and our server was wonderful! We got a Thai iced tea and a white sangria that came with an entire lychee in it. Drinks were pretty good.
We ordered chicken satay and the squash fritters to start. The satay had good flavor but the squash fritters were out of this world! The batter was light and sweet while the tamarind-based dipping sauce made it refreshing. We had to stop ourselves from eating the entire basket!
We also shared a beef salad and a papaya salad. The beef salad was good, but the meat was cut a bit too thick. I love my spicy food so I got ""Thai spicy"" for the papaya salad. It was actually not that spicy. The spice was more of a slow burn that built up over time. The rice noodles were a good addition to soak up the juice on the bottom. They were out of shrimp chips that day so we only got pork rinds, which were also very light. The Pad Thai was just Pad Thai. It was good but nothing special. 
I was looking forward to their Thai iced tea gelato served in a young coconut, but it was out so we got the sticky rice instead. Again, it was good, nothing special. I would recommend trying their other desserts instead.",5
Pai Northern Thai Kitchen,3788,Brian E.,"Had an epic meal here last night absolutely loved every single dish I put on the table. We start with a variety of appetizers, including pork and chicken, skewers squash, fritters and they were all amazing. The pork head, a wonderful spicy sweet taste with a little bit of charm from the grill that really made it stand out. Would definitely order that again without hesitation. For entrées, we got pad Thai and pad gra prow. Both of these dishes were absolutely fantastic. Plenty large enough to split with your dining partners. Between the four of us, we had three entrées, eight family style and there's more than enough food. The chicken pant was probably among the best I've ever had great flavor in the sauce and the chicken was nice and tender and delicious.
The star of the show was the coconut sorbet. Served a half coconut comes topped with mango shredded coconut and peanuts, and it was absolutely delible one of the best desserts I've had in a long long time. You're doing a great disservice on yelp reviews for this restaurant and you don't end up dying there. 
On top of the great food, it had a cool funky vibe with the decor the restaurants located in the building and has some community tables and a lot of other quirky seating locations. All the way around.",5
Pai Northern Thai Kitchen,3788,Gary M.,"October 12/2024: Lupper with my Al & Larry/Mary. 
This was a very interesting restaurant. It's in the basement of a building but it was busy as all get out for a later afternoon (4:00pm ish). Bench style seating for the tables and a fast seating. Had our table quickly. 
I had the spring rolls ($14.99) as an appie. They were delicious, crispy & crunchy with a plum dipping sauce. 
My main was Pad See Ew with Chicken ($23.99). This was my first time trying this and it was delicious as well. Very tasty but I should have added MORE spice. 
I also tried a fork full of Mango Slaw ($19.50) & it was very good as well. No complaint about this place except for their lack of menu flexibility. 
It's a do over for me if I'm in the area.",4
Pai Northern Thai Kitchen,3788,Eleanor Elaine C.,"Good Thai food. I bit chaotic for my taste but that is authentic Thai street feel so I can't complain. Staff was good, friendly and attentive. Food came out very social media friendly",4
Pai Northern Thai Kitchen,3788,Matt S.,"Door dashed the Chicken Pad Thai (Medium) and it was very good. It was very good.
I marked the order to include utensils, but it did not. Luckily I had a fork at my hotel so it all worked out.",5
Pai Northern Thai Kitchen,3788,Robert S.,"My husband suggested this Thai restaurant for dinner and I am glad he did.  When we arrived, there was a line out to give our names for dine in.  I also saw that they were on Open Table, but all the reservations were also gone..so we waited in line and after about 10 min we gave our name.  We were told it would take about 20 min so we headed to the bar and got some drinks.
The place is huge..it has several dining rooms and all of them are ample and very nicely laid out.
Our server was really sweet and nice. We opened the menu via the QR code and we decided on the Pad Gra Prow for my husband (basil stir fried with beef over rice) and the Pad See Ew for me (thick rice noodles with chicken).  We started the meal with some chicken satay.  Everything was outstanding...the flavors were probably some of the best I've had outside of Thailand.  It was a winning dining experience.
Large menu with salads, rices, noodles, soups, etc....please check it out next time you are in the area....well worth it....",5
Pai Northern Thai Kitchen,3788,Andrea M.,"The vibe at Pai Northern Thai Kitchen was laid back despite it being a Michelin rated restaurant. Hence the hubs said we had to go.
The gaeng hunglay or oxtail curry was really interesting. The rice was adorably wrapped in leaves. You don't often see such a dish at Thai places. But then I've recently learned that northern Thai cuisine is slightly different. The curry had a sweet and sour taste with notes of garlic and ginger. It was flavorful but not overwhelming like sweet and sour soup for instance. All this was set to a mild spice level.
The chicken pad see ew was delicious. This is one of my all time favorite dishes to get. There was a perfect portion of chicken, veggies, and noodles. But the most important thing was the abundant noodles! The veggie stems in this dish was rather bitter, and I couldn't pinpoint what type it was. The chunkiness allowed you to taste the bitterness which slightly turned me off. It turned out that it was Chinese broccoli. Ha! [Yeah. I don't read the full menu to remember.]
Here's a link to their menu: 
https://paitoronto.com/menu/pai-menu#section5
 
The experience is right around 3 or 4 stars for me. Service was on point despite people whizzing about. The decor and atmosphere was fun and chill. Overall it was good food but at a pricey price point.
Was it worth it? To try a Michelin rated restaurant once, yes. To come back and dine again? Probably not for the inflated price due to its hyped up reputation. That's my take on this anyway...",4
Pai Northern Thai Kitchen,3788,Mike O.,"Pai is a restaurant staple of Toronto. I've been a few times and each time I'm impressed with the quality of the food and depth of flavors in each dish.
The restaurant itself has a very hole-in-the-wall feel to it. It doesn't have an elaborate storefront and the inside has a very casual and cozy feel to it. Seating is also limited considering how popular it is, so I recommend trying to go early to get a seat. Arriving at 5pm or earlier gives you a better chance at getting in without a wait.
The service is good but not stellar in my opinion. The staff is friendly enough but can be a bit slow when they get busy.
The amazing food is what you come for! Every dish I've had I've fallen in love it. Each one crafted with elite attention to detail and has a perfect balance of flavors and spices. The Khao Soi is my favorite as the curry is so creamy and so many levels of flavor.
Overall, Pai has some of the tastiest food in Toronto and is a must-go! I've never looked at Thai food the same way after going to Pai and I highly recommend it to anyone and everyone!",5
Pai Northern Thai Kitchen,3788,Frank F.,"Best Hot & Sour Soup Ever
We popped into Pai for dinner, and we were immediately struck by the vibrant, bustling atmosphere. It was a bit overwhelming at first due to how busy and loud it was, but the energy was undeniably lively. Navigating through the various pathways to reach different rooms and our table added to the unique experience.
The highlight of our meal was definitely the hot and sour soup--it was hands down the best I've ever had. The other dishes we shared were decent, though the menu felt somewhat limited in options.
The staff were mostly attentive and friendly, contributing to the overall positive vibe of the place.",5
Pai Northern Thai Kitchen,3788,Ana B.,"In the words of Gen Z, Pai is MID. Pai is on almost every list for Toronto and on the Michelin guide, and there is always a line to get in here. I went on a Friday night during Canada weekend and we got lucky and after getting in line just to get on the waitlist, after waiting 20-30 min, we were seated right away. I am super happy that northern Thai food is getting recognized but I was not impressed with the food. The atmosphere is great - it's vibrant and loud and they have a full cocktail bar. I got a vodka Thai tea cocktail and it was fine. 
The waiter was really lovely and had recommendations, since it was so busy we ordered everything and asked for things to come as they were ready (my sister who I was with is also very impatient at restaurants so it was better for us). 
We ordered: the mago slaw (seasonal) and also a note here, some of the starters are not available until after 4 pm; miang kung  - which is a make yourself wrap, paid thai and PAD GRA PROW, a rice dish with an egg on top. 
I haven't had a decent pad thai in YEARS and this was fine, better than what I've had available, we did ask for a side of hot sauce and cilantro. 
The pad gra prow, was nice, it builds flavor slowly so we thought we didn't like it at first. We did over order, but we were eager to try a lot of the items. 
Overall, if you've had good thai food, you will be disappointed in how hyped this place is - especially since you have to wait in line just to get to the waitlist and they don't answer the phone, I do think there's a email you can write to. The miang kung is fun, and not readily seen a lot of place in the US.",3
Pai Northern Thai Kitchen,3788,Emilia R.,"Great vibes here. They play lots of modern rap music and it helps create a very refreshingly young environment. This place is packed too. There is not much seating and my mother and I had to wait as we were walk ins. Not sure if they accept reservations. But I do know they are card only, no cash. 
I was pleasantly surprised to walk in and see the Michelin star rating posted at the front. I knew this had to be good. 
We had a few dishes, everything was HUGE portions, but as a NYer, I was disappointed and did not find the food particularly special. Ive had better from a hole-in-the-wall in a back alley. I thought my pad see ew was over salted and the flavors just did not vary  much from the pad Thai. 
 
I expected more. Also did not feel like the waiter was overly that great. He plopped down plates and I tried to get his attention a few times but was ignored. It was very busy so maybe he was over stimulated by it.",3
Pai Northern Thai Kitchen,3788,Haeun J.,"I was EYEING this spot during my travels in Toronto because the line was always around the block and it's on the Michelin Guide. We had to wait in line to put our names down, and they texted us when our table was ready. We went on a Friday night at around 6 PM, and I think it took us about 45 minutes to get seated. I'd say it's a pretty efficient system.
We ordered the Thai Chicken Wings, Papaya Salad, Khao Soi and the Pad Thai. ALL the items were absolute hitters. They were full of flavors and characters but still true to their basics. The papaya salad is one of the hardest dishes to get right because it requires specific grinding of the papaya to give it that perfect texture - Pai's papaya salad was amazing. 
When I come back to Toronto, this spot is one of the firsts I'd visit again.",5
Pai Northern Thai Kitchen,3788,Charlene S.,"This might be a silly thing to say, but I didn't think Thai food could get better than my neighborhood places. I stand corrected. 
This place was on the list because it got loads of great reviews. Didn't know it was a Michelin.. contender? Award winner? I'm still not too sure. Either way, it's well deserved.
Vegetarian review:
Pad see ew-  there was something in the sauce. That was the top difference between this dish here and in other places. It was delicious. There was firm tofu (not fried), plenty of veggies, and great noodle texture. The plate was full and filling.
Panang curry: also very good. It was filled with tofu and peas and... a bunch of other stuff. Again, lots of food with a cute rice wrapped in... betel leaf? Flavor was lovely. 
The wait was well worth it, and beware- there is a wait. We arrived at 5.30pm (on a summer Thursday) and hung around outside (in the rain) for about 40min. On the plus- the time frame they gave was very accurate.",5
Pai Northern Thai Kitchen,3788,Mark S.,"Pai is developing a reputation as the best Thai restaurant in Toronto and it is easy to see why. Arriving early in the dinner service on a Friday, we were seated almost immediately. 
The three of us had the Grabong and Moo Ping to start. These were good but not the highlights of the meal. 
The mains were all showstoppers. Chicken Khao Soi, Pad Cha Hett, and Gaeng Massaman with beef. Each more flavorful than the last and bringing a unique palette, from the sweet coconut milk in the Khao Soi to the spice of the Massaman.
I am surprised to see some 4-star reviews here. Perhaps other areas of the extensive menu are less strong? Regardless, everything I ate leads me to HIGHLY recommend Pai.",5
Pai Northern Thai Kitchen,3788,Susan L.,"Arguably one of the best Thai food places you can find in Toronto. PAI has been a go to for me and my friends. It's the place I take people to when they're visiting Toronto. The garbong is a must and you can't go wrong with ordering the khao soi. I am also a sucker for any of their noodle dishes that use rice noodles. Everything is so flavourful but not overly salty. 
The restaurant is down a few stairs and it decorated in a way that makes you feel like you're sitting in the streets of Thailand having a meal.
There is always a line but they have a pretty good system and you get seated pretty promptly. Mind you I still recommend getting reservations or coming right when they opened or on weekdays.",5
Pai Northern Thai Kitchen,3788,Lauren T.,"10/10 they deserve a Michelin Star. They're on the Michelin list, and even though we stumbled upon this restaurant while in vacation they got us seated pretty quickly. We waiting in line for about 20 minutes and then were seated. 
This Thai food was good, it's ruined us for any other Thai. Make this a stop! 
The atmosphere was so cozy. The tables seemed close together, but it didn't feel that way when seated.",5
Pai Northern Thai Kitchen,3788,Laila F.,"Went here for lunch on a Saturday early afternoon. Was seated immediately in a super cute indoor space.
The food blew us away!! We tried:
Thai coffee- 5/5 delicious with generous portions 
Khao soi- 5/5 one of the most delicious creamy curries I had, we got this with tofu 
Papaya salad - 5/5 so good with perfect amount of spice. The mini shrimp were an excellent touch
Pad gra pow- 5/5 our FAVORITE- we got with vegan pork and could t even tell it was not real, SO delicious. we got this Thai spicy which was no joke but so good.
Highly recommend!! Consider coming for lunch to avoid long wait!",5
Pai Northern Thai Kitchen,3788,Robert C.,"Amazing must try place in Toronto! There is a line outside to put your name down with the host (30ish min), a wait for a table after putting name down (10-20min), and then wait for food after ordering (10-20min) but it is definitely worth the wait. Food was really good and service was attentive and frequently checked in. Ambiance is nice and unique. 
My party got their khoa soi, green curry, and pad see ew, along with an iced thai tea, mango sticky rice, and coconut mango sorbet for dessert. No bad items on their menu, they are Michelin for a reason.",5
Pai Northern Thai Kitchen,3788,David L.,"When the food is good, the wait will be long even on the weekdays.  Seeing this a Michelin Guide restaurant, I knew I have to give this place a try when in town. It took about 1.5 hour for our table to be ready.  
Food - I think we went overboard when we ordered.  I figured if we can't finish we can bring the food back to our hotel since it has a kitchen.  All the food we ordered taste great.  The spice level is just perfect.  This is probably the best Thai Food that I have ever eaten.  
Service - our waitress is great.  Even though she's really busy she still makes time to chat with us and have us some recommendations when we ordered.  
Ambience- it feels like hole in the wall. Nothing fancy.  But it really doesn't matter that much since the food is more important to me.
Overall, this is a very well deserved to be on the Michelin Guide list.  Will be back next time to try other food.",5
Pai Northern Thai Kitchen,3788,Megan S.,We just visited Thailand a couple months ago and have been thinking about how hard it is to find some specific dishes. Pai definitely delivered with a fun atmosphere with a menu that is hard to choose from. We wanted to try everything! We had the fritters which were flavorful and plentiful as well as a delicious Khao soy and a Penang curry which was thicker than we typically see and so perfect to coat a bed of rice. The coconut sorbet was so fresh and amazing. Everything was delicious and we are only sad that we discovered Pai on our last night in Toronto and could not return!,5
Pai Northern Thai Kitchen,3788,Katie K.,This food was our favorite in Toronto. It tasted very fresh and flavorful. They told us 20 minutes but only took about 5 to get a table. We got are food quick. Would recommend!,5
Pai Northern Thai Kitchen,3788,Lisa S.,"I'm in love with everything from pai. I don't know how they do it but every dish is cooked to perfection. The flavours are all there, it tastes like it's straight out of Thailand. The wok flavour is amazing in the pad see ew- Smokey, has a touch of sourness which brings out the sweetness and savouriness. It just hits all the flavour notes. The Chinese broccoli has a nice crunchy texture opposite to the soft noodles. Will definitely be back to try more!",5
Pai Northern Thai Kitchen,3788,Novia E.,"there's a reason why this place has a Michelin award. All of our meals are so so good and coming from LA, I was not disappointed to pick one of my meals in Toronto to go to this place.
we went in on Sunday afternoon and it was pretty packed, but we only had to wait about 5 to 10 minutes. They will text you when the table is ready.  Place is quite large. I didn't notice that from the outside have a lot of tables for the groups and pairs.
All of the food are awesome and I recommend you to go here if you visit Toronto. The staff are so nice too. I didn't try their tom yum because you can't really customize the spicy level and I can't really eat spicy food.",5
Pai Northern Thai Kitchen,3788,Fiammetta P.,"Simply put, YES!!! This place is the real deal. I'm constantly on the quest for great Thai food, especially northern Thai food like Khao Soi and this place rocks. It's authentic and vibrant. I lost photos unfortunately but images or words can't do their food justice. Service was ok but the reason to go is the food. If you're in Toronto or visiting, it's worth a try. Go early if you don't have a reservation as the line gets long fast, with that said we were able to get a reservation for two with relatively short notice (on the early side).",5
Pai Northern Thai Kitchen,3788,Michelle H.,"I came back to Pai after over a year had passed since my last visit.
I ordered the dish I crave and love the most from here: Massaman Curry with Beef. 
Unfortunately, I was disappointed. The flavours were NOT as I had remembered, to the point that I questioned whether the owners/recipe changed? The curry base was a lot more sour. The beef was tough and gamey. The potatoes were slightly undercooked. And the rice completely changed (now sticky rice in a banana leaf; previously jasmine rice which pairs better with the curry). The rice portion size also decreased substantially. 
I used to adore Pai, and consistently enjoyed it for 8+ years. I'm not sure if this was an off day or if their food has permanently changed.",3
Pai Northern Thai Kitchen,3788,Paul P.,"I enjoyed the spring rolls and the Pad See Ew. I like spice and asked for it but I am glad I didn't pour it on. 
The lime, when freshly squeezed on the meal makes it go pop! I thoroughly enjoyed this dish. At first I thought I wanted it spicy but the flavor was fantastic as it was. The lime really made the dish come to life. Pan cut noodles, veggies and I ordered with shrimp but you can get with chicken, beef, etc.
I waited a few days to eat here. I came on a weekday afternoon around 3 and no line. Still full from lunch but no line to wait to get to a table. Full menu, full bar. Service was fast and efficient. Menu is online and QR  odes at the table. No menu handouts.  
Smartly decorated like other Thai restaurants. 
Would highly recommend!! Worth the wait of days and if limited time worth the wait as well.",5
Pai Northern Thai Kitchen,3788,yuvraj n.,"Very crowded place, so make sure to get there ahead of time or reservation if you can. Food has tons of flavor and seasoned extremely well. Ambiance is alright, unique underground place but it's a little crammed. Had a great experience with noodle dishes, soup, and coconut sorbet. Great selection of appetizers and salad was a great start to the dinner!",5
Pai Northern Thai Kitchen,3788,Dennis C.,As usual the food was good and the lineup outside was long (but pretty fast).   Service was busy but decent.  Annoying menu app did not really work so I could not see any pictures-need paper backup!,4
Pai Northern Thai Kitchen,3788,Tony X.,"If you want some tasty Thai food, rich with flavours, in an atmosphere that works well regardless of who you're dining with, Pai is the spot!
I got a Pad See Ew with shrimp, along with a guava juice drink. The meal portion was filling, and I left the restaurant knowing it's a spot I'd love to return to.",5
Pai Northern Thai Kitchen,3788,Nikita B.,"We ended up door dashing to our hotel because they didn't have availability and even through door dash the food was so good, I'm sure eating in person it's probably even better!! We got the basics red curry, pad thai, and crispy chicken and my taste buds were living their best life! Highly recommend - try to get a reservation if you can if not door dash works too :)",5
Pai Northern Thai Kitchen,3788,Pranav M.,"We worked up an appetite after seeing cherry blossoms and decided that we were craving Thai food. 
Busy as expected on a Friday, waited only about 20 minutes for a table, had a drink at the bar while waiting. 
Ordered a small Tom yum soup to start very delicious. Pad Thai was chefs kiss delicious also and so was the curry, not a single complaint.
The Scottchie Barnes was a rather small drink (in size and strength).
A little on the expensive side but that's expected with Pai.
Sat at a small table in the middle.",5
Pai Northern Thai Kitchen,3788,Steven D.,"We went here because it was the most popular on Yelp in this area. I learned most popular on yelp doesn't mean the best. We decided to go anyway because we were close. 
I could see why this place is mentioned by Michelin. The vibe cooks. The decor is cute and I could see hanging out here with a group of friends.
This place was also pretty busy. I got oxtail curry because I don't see that in a lot of Thai restaurant menus. The curry had a sour and sweet taste with some notes of ginger and garlic. It was thick and flavorful but not very creamy. It was a mild spice. 
My wife got the chicken pad see ew. She love pad see ew of all types. I think she just likes thick flat noodles. The ratio of chicken, veggies, and noddles were perfect. I ate her eggs though because she's slightly allergic to eggs. 
Would I come here again?
No. Not because I live in US but because I don't think this place stands out as a Thai restaurant.",3
Pai Northern Thai Kitchen,3788,Tabby A.,"Is the wait worth it?? Depends on how discerning is your palate for fine food.  The food tastes very good, but if you have sugar / salt sensitivities you may wish to ask for less sugar / salt in your food.",4
Pai Northern Thai Kitchen,3788,Zeke M.,"This was actually a tough one for me! The food was incredible the service was excellent and with the idea of accommodating as many people as possible in the restaurant, I was put into a seat that was fairly tight for a person of my size.... that being said, the atmosphere is really cool but it was tough for me to enjoy the entire experience staring at a stone wall 2 feet from my face. Once again I totally get the need to move customers through and I love the fact that walk in availability is possible otherwise this review would've been at least five..... 100% this is not the last time I will be back to this restaurant! It is absolutely incredibly delicious and if you're on the fence, you absolutely need to go!!! with better seating I'm sure that your experience will absolutely be a five!
Thanks again!!
Zeke",4
Pai Northern Thai Kitchen,3788,Kathy T.,"4.5 
Came here for dinner and because we were willing to sit at the communal table, were seated right away. Which was actually great because it was a huge table and we had our own corner that was a lot roomier than most tables.
The winning dish was the mango salad- so fresh and flavorful! The other dishes, pad Thai, pad see ew, and Panang curry were all good-I think we were expecting a little more or different with the Michelin hype.
The ambience of the place is very fun and lively-it's in the basement of a building and feels like a semi tropical hideaway. Service was also good.",5
Pai Northern Thai Kitchen,3788,Joann S.,"i got there at 8:30 on a monday night with a party of two and waited only five minutes! 
the inside is decorated really nicely with thai mementos and souvenirs. 
green curry was really good but some of the beef were too stringy and dry. really strong coconut taste (which i loved)! 
miang kung was really good but too little toppings for too many leaves  wish there were a few more piece of shrimp... 
friend said her pad see ew was one of the best she's ever had. 
thai iced tea is a little too sweet for me",5
Pai Northern Thai Kitchen,3788,Connie C.,"This place is definitely packed 24/7 and super duper loud!
Came here before 5pm and was told there's already a 20 mins wait.  However, got a text message in less than 10 mins so it wasn't too bad.
The seats/tables were small and I had multiple bags with me so it made it extra difficult to sit.  People also kept walking behind me and knocking off my belongings.  I wish I had the a seat against the wall but oh wells...
Ordered few things to try.  The pork skewer was the bomb! The chicken curry was good but the bamboo rice wasn't enough to finish the whole curry dish.  We ended up ordering another rice to go with it.  The tom yum soup was tasty.  The pad thai with beef was chewy.  The beef was super overcooked and it tasted like liver?  The thai tea was super cold and sweet.
Don't think I'll come back to this location, but perhaps the one in midtown.  We were super thirsty after dinner...",3
